"New York City, USA",Autumn (Fall),September,"Percentage Off (e.g., 20% off)",Percentage Discount,Standard Shipping,New Year's Day (Global),AliceBlue,Below-Cost Selling
"Los Angeles, USA",Autumn (Fall),September,"Dollar Amount Off (e.g., $10 off)",Dollar Amount Discount,Expedited Shipping,Christmas (Global),AntiqueWhite,Below-Cost Selling
"Chicago, USA",Autumn (Fall),September,Buy One Get One Free (BOGO),Buy One Get One (BOGO),Overnight Shipping,Easter (Global),Aqua,Below-Cost Selling
"Houston, USA",Autumn (Fall),September,"Buy More Save More (e.g., buy 2 get 1 free)",Bulk Purchase Discounts,Same-Day Delivery,Ramadan and Eid al-Fitr (Islamic World),Aquamarine,Below-Cost Selling
"Phoenix, USA",Autumn (Fall),September,Flash Sales,Limited-Time Offers,Two-Day Shipping,Diwali (India and Hindu Communities Worldwide),Azure,Below-Cost Selling
"Philadelphia, USA",Autumn (Fall),September,"Seasonal Sales (e.g., Black Friday, Christmas sales)",Percentage Discount,In-Store Pickup,Chinese New Year (China and Chinese Communities Worldwide),Beige,Below-Cost Selling
"San Antonio, USA",Autumn (Fall),September,Clearance Sales,Dollar Amount Discount,Freight Shipping,Hanukkah (Jewish Communities Worldwide),Bisque,Below-Cost Selling
"San Diego, USA",Autumn (Fall),September,Digital Coupons,Buy One Get One (BOGO),Flat-Rate Shipping,Holi (India and Nepal),Black,Below-Cost Selling
"Dallas, USA",Autumn (Fall),September,Paper Coupons,Bulk Purchase Discounts,Standard Shipping,Thanksgiving (USA and Canada),BlanchedAlmond,Below-Cost Selling
"San Jose, USA",Autumn (Fall),September,Mobile Coupons,Limited-Time Offers,Expedited Shipping,"Halloween (Global, especially USA and UK)",Blue,Below-Cost Selling
"Austin, USA",Autumn (Fall),September,Discount Codes,Percentage Discount,Overnight Shipping,Oktoberfest (Germany and Worldwide),BlueViolet,Below-Cost Selling
"Jacksonville, USA",Autumn (Fall),September,Gift Vouchers,Dollar Amount Discount,Same-Day Delivery,"Carnival (Brazil, Trinidad and Tobago, Venice, New Orleans)",Brown,Below-Cost Selling
"Fort Worth, USA",Autumn (Fall),September,Cashback Offers,Buy One Get One (BOGO),Two-Day Shipping,St. Patrick's Day (Ireland and Irish Communities Worldwide),BurlyWood,Below-Cost Selling
"Columbus, USA",Autumn (Fall),September,Points Programs (earn points for purchases),Bulk Purchase Discounts,In-Store Pickup,"Mardi Gras (New Orleans, USA, and Other Places)",CadetBlue,Below-Cost Selling
"Charlotte, USA",Autumn (Fall),September,Membership Discounts,Limited-Time Offers,Freight Shipping,Songkran (Thailand),Chartreuse,Below-Cost Selling
"San Francisco, USA",Autumn (Fall),May,Exclusive Member Sales,Percentage Discount,Flat-Rate Shipping,Día de los Muertos (Mexico),Chocolate,Below-Cost Selling
"Indianapolis, USA",Autumn (Fall),September,"Rewards Programs (e.g., frequent flyer miles)",Dollar Amount Discount,Standard Shipping,Rosh Hashanah (Jewish Communities Worldwide),Coral,Below-Cost Selling
"Seattle, USA",Autumn (Fall),September,VIP Programs,Buy One Get One (BOGO),Expedited Shipping,Yom Kippur (Jewish Communities Worldwide),CornflowerBlue,Below-Cost Selling
"Denver, USA",Autumn (Fall),September,"Product Bundles (e.g., buy a laptop, get a mouse free)",Bulk Purchase Discounts,Overnight Shipping,Bastille Day (France),Cornsilk,Below-Cost Selling
"Washington, D.C., USA",Autumn (Fall),September,"Service Packages (e.g., phone plans with free data)",Limited-Time Offers,Same-Day Delivery,"Boxing Day (UK, Canada, Australia)",Crimson,Below-Cost Selling
"Boston, USA",Autumn (Fall),September,"Subscription Discounts (e.g., sign up for 12 months, get 1 month free)",Percentage Discount,Two-Day Shipping,Cinco de Mayo (Mexico and Mexican Communities Worldwide),Cyan,Below-Cost Selling
"El Paso, USA",Autumn (Fall),September,Refer a Friend Discounts,Dollar Amount Discount,In-Store Pickup,"Independence Day (USA, July 4)",DarkBlue,Below-Cost Selling
"Nashville, USA",Autumn (Fall),September,Referral Rewards,Buy One Get One (BOGO),Freight Shipping,Bonfire Night (UK),DarkCyan,Below-Cost Selling
"Detroit, USA",Autumn (Fall),September,Affiliate Programs,Bulk Purchase Discounts,Flat-Rate Shipping,Kwanzaa (USA),DarkGoldenRod,Below-Cost Selling
"Oklahoma City, USA",Autumn (Fall),September,"Percentage Off (e.g., 20% off)",Limited-Time Offers,Standard Shipping,Vesak (Buddhist Communities),DarkGray,Below-Cost Selling
"Portland, USA",Autumn (Fall),September,"Dollar Amount Off (e.g., $10 off)",Percentage Discount,Expedited Shipping,Lantern Festival (China),DarkGreen,Below-Cost Selling
"Las Vegas, USA",Autumn (Fall),September,Buy One Get One Free (BOGO),Dollar Amount Discount,Overnight Shipping,Midsummer (Sweden and Nordic Countries),DarkKhaki,Below-Cost Selling
