"New York City, USA",Spring,January,"Percentage Off (e.g., 20% off)",Percentage Discount,Standard Shipping,New Year's Day (Global),AliceBlue
"Los Angeles, USA",Summer,February,"Dollar Amount Off (e.g., $10 off)",Dollar Amount Discount,Expedited Shipping,Christmas (Global),AntiqueWhite
"Chicago, USA",Autumn (Fall),March,Buy One Get One Free (BOGO),Buy One Get One (BOGO),Overnight Shipping,Easter (Global),Aqua
"Houston, USA",Winter,April,"Buy More Save More (e.g., buy 2 get 1 free)",Bulk Purchase Discounts,Same-Day Delivery,Ramadan and Eid al-Fitr (Islamic World),Aquamarine
"Phoenix, USA",Monsoon (Rainy Season),May,Flash Sales,Limited-Time Offers,Two-Day Shipping,Diwali (India and Hindu Communities Worldwide),Azure
"Philadelphia, USA",Pre-monsoon (Hot Season) ,June,"Seasonal Sales (e.g., Black Friday, Christmas sales)",Percentage Discount,In-Store Pickup,Chinese New Year (China and Chinese Communities Worldwide),Beige
"San Antonio, USA",Post-monsoon (Retreating Monsoon) ,July,Clearance Sales,Dollar Amount Discount,Freight Shipping,Hanukkah (Jewish Communities Worldwide),Bisque
"San Diego, USA",Dry Season,August,Digital Coupons,Buy One Get One (BOGO),Flat-Rate Shipping,Holi (India and Nepal),Black
"Dallas, USA",Wet Season,September,Paper Coupons,Bulk Purchase Discounts,Standard Shipping,Thanksgiving (USA and Canada),BlanchedAlmond
"San Jose, USA",Early Winter,October,Mobile Coupons,Limited-Time Offers,Expedited Shipping,"Halloween (Global, especially USA and UK)",Blue
"Austin, USA",Deep Winter,November,Discount Codes,Percentage Discount,Overnight Shipping,Oktoberfest (Germany and Worldwide),BlueViolet
"Jacksonville, USA",Late Winter ,December,Gift Vouchers,Dollar Amount Discount,Same-Day Delivery,"Carnival (Brazil, Trinidad and Tobago, Venice, New Orleans)",Brown
"Fort Worth, USA",Early Spring,January,Cashback Offers,Buy One Get One (BOGO),Two-Day Shipping,St. Patrick's Day (Ireland and Irish Communities Worldwide),BurlyWood
"Columbus, USA",Late Spring,February,Points Programs (earn points for purchases),Bulk Purchase Discounts,In-Store Pickup,"Mardi Gras (New Orleans, USA, and Other Places)",CadetBlue
