"New York City, USA",Autumn (Fall),September,"Percentage Off (e.g., 20% off)",Percentage Discount,Standard Shipping,New Year's Day (Global),AliceBlue
"Los Angeles, USA",Autumn (Fall),September,"Dollar Amount Off (e.g., $10 off)",Dollar Amount Discount,Expedited Shipping,Christmas (Global),AntiqueWhite
"Chicago, USA",Autumn (Fall),September,Buy One Get One Free (BOGO),Buy One Get One (BOGO),Overnight Shipping,Easter (Global),Aqua
"Houston, USA",Autumn (Fall),September,"Buy More Save More (e.g., buy 2 get 1 free)",Bulk Purchase Discounts,Same-Day Delivery,Ramadan and Eid al-Fitr (Islamic World),Aquamarine
"Phoenix, USA",Autumn (Fall),September,Flash Sales,Limited-Time Offers,Two-Day Shipping,Diwali (India and Hindu Communities Worldwide),Azure
"Philadelphia, USA",Autumn (Fall),September,"Seasonal Sales (e.g., Black Friday, Christmas sales)",Percentage Discount,In-Store Pickup,Chinese New Year (China and Chinese Communities Worldwide),Beige
"San Antonio, USA",Autumn (Fall),September,Clearance Sales,Dollar Amount Discount,Freight Shipping,Hanukkah (Jewish Communities Worldwide),Bisque
"San Diego, USA",Autumn (Fall),September,Digital Coupons,Buy One Get One (BOGO),Flat-Rate Shipping,Holi (India and Nepal),Black
"Dallas, USA",Autumn (Fall),September,Paper Coupons,Bulk Purchase Discounts,Standard Shipping,Thanksgiving (USA and Canada),BlanchedAlmond
"San Jose, USA",Autumn (Fall),September,Mobile Coupons,Limited-Time Offers,Expedited Shipping,"Halloween (Global, especially USA and UK)",Blue
"Austin, USA",Autumn (Fall),September,Discount Codes,Percentage Discount,Overnight Shipping,Oktoberfest (Germany and Worldwide),BlueViolet
"Jacksonville, USA",Autumn (Fall),September,Gift Vouchers,Dollar Amount Discount,Same-Day Delivery,"Carnival (Brazil, Trinidad and Tobago, Venice, New Orleans)",Brown
"Fort Worth, USA",Autumn (Fall),September,Cashback Offers,Buy One Get One (BOGO),Two-Day Shipping,St. Patrick's Day (Ireland and Irish Communities Worldwide),BurlyWood
"Columbus, USA",Autumn (Fall),September,Points Programs (earn points for purchases),Bulk Purchase Discounts,In-Store Pickup,"Mardi Gras (New Orleans, USA, and Other Places)",CadetBlue
"Charlotte, USA",Autumn (Fall),September,Membership Discounts,Limited-Time Offers,Freight Shipping,Songkran (Thailand),Chartreuse
"San Francisco, USA",Autumn (Fall),September,Exclusive Member Sales,Percentage Discount,Flat-Rate Shipping,Día de los Muertos (Mexico),Chocolate
"Indianapolis, USA",Autumn (Fall),September,"Rewards Programs (e.g., frequent flyer miles)",Dollar Amount Discount,Standard Shipping,Rosh Hashanah (Jewish Communities Worldwide),Coral
"Seattle, USA",Autumn (Fall),September,VIP Programs,Buy One Get One (BOGO),Expedited Shipping,Yom Kippur (Jewish Communities Worldwide),CornflowerBlue
"Denver, USA",Autumn (Fall),September,"Product Bundles (e.g., buy a laptop, get a mouse free)",Bulk Purchase Discounts,Overnight Shipping,Bastille Day (France),Cornsilk
"Washington, D.C., USA",Autumn (Fall),September,"Service Packages (e.g., phone plans with free data)",Limited-Time Offers,Same-Day Delivery,"Boxing Day (UK, Canada, Australia)",Crimson
"Boston, USA",Autumn (Fall),September,"Subscription Discounts (e.g., sign up for 12 months, get 1 month free)",Percentage Discount,Two-Day Shipping,Cinco de Mayo (Mexico and Mexican Communities Worldwide),Cyan
"El Paso, USA",Autumn (Fall),September,Refer a Friend Discounts,Dollar Amount Discount,In-Store Pickup,"Independence Day (USA, July 4)",DarkBlue
"Nashville, USA",Autumn (Fall),September,Referral Rewards,Buy One Get One (BOGO),Freight Shipping,Bonfire Night (UK),DarkCyan
"Detroit, USA",Autumn (Fall),September,Affiliate Programs,Bulk Purchase Discounts,Flat-Rate Shipping,Kwanzaa (USA),DarkGoldenRod
"Oklahoma City, USA",Autumn (Fall),September,"Percentage Off (e.g., 20% off)",Limited-Time Offers,Standard Shipping,Vesak (Buddhist Communities),DarkGray
